Board,Paper,Authors,URL
1-left,Theory of Space: Can Foundation Models Construct Spatial Beliefs through Active Exploration?,"Pingyue Zhang, Zihan Huang, Yue Wang, Jieyu Zhang, Letian Xue, Zihan Wang, Qineng Wang, Keshigeyan Chandrasegaran, Ruohan Zhang, Yejin Choi, Ranjay Krishna, Jiajun Wu, Li Fei-Fei, Manling Li",https://arxiv.org/abs/2602.07055
1-right,"Unique Lives, Shared World: Learning from Single-Life Videos","Tengda Han, Sayna Ebrahimi, Dilara Gokay, Li Yang Ku, Maks Ovsjanikov, Iva Babukova, Daniel Zoran, Viorica Patraucean, Joao Carreira, Andrew Zisserman, Dima Damen",https://arxiv.org/abs/2512.04085
2-left,Learning to See Through a Baby's Eyes: Early Visual Diets Enable Robust Visual Intelligence in Humans and Machines,"Yusen Cai, Qing Lin, Bhargava Satya Nunna, Mengmi Zhang",https://arxiv.org/abs/2511.14440
2-right,From None to All: Self-Supervised 3D Reconstruction via Novel View Synthesis,"Ranran Huang, Weixun Luo, Ye Mao, Krystian Mikolajczyk",https://arxiv.org/abs/2603.27455
3-left,Efficiently Reconstructing Dynamic Scenes One D4RT at a Time,"Chuhan Zhang, Guillaume Le Moing, Skanda Koppula, Ignacio Rocco, Liliane Momeni, Junyu Xie, Shuyang Sun, Rahul Sukthankar, Joëlle K. Barral, Raia Hadsell, Zoubin Ghahramani, Andrew Zisserman, Junlin Zhang, Mehdi S. M. Sajjadi",https://arxiv.org/abs/2512.08924
3-right,Seeing without Pixels: Perception from Camera Trajectories,"Zihui Xue, Kristen Grauman, Dima Damen, Andrew Zisserman, Tengda Han",https://arxiv.org/abs/2511.21681
4-left,Next-Embedding Prediction Makes Strong Vision Learners,"Sihan Xu, Ziqiao Ma, Wenhao Chai, Xuweiyi Chen, Weiyang Jin, Joyce Chai, Saining Xie, Stella X. Yu",https://arxiv.org/abs/2512.16922
4-right,4D-RGPT: Toward Region-level 4D Understanding via Perceptual Distillation,"Chiao-An Yang, Ryo Hachiuma, Sifei Liu, Subhashree Radhakrishnan, Raymond A. Yeh, Yu-Chiang Frank Wang, Min-Hung Chen",https://arxiv.org/abs/2512.17012
5-left,Steerable Visual Representations,"Jona Ruthardt, Manu Gaur, Deva Ramanan, Makarand Tapaswi, Yuki M. Asano",https://arxiv.org/abs/2604.02327
5-right,VGGT-Ω,"Jianyuan Wang, Minghao Chen, Shangzhan Zhang, Nikita Karaev, Johannes Schönberger, Patrick Labatut, Piotr Bojanowski, David Novotny, Andrea Vedaldi, Christian Rupprecht",https://arxiv.org/abs/2605.15195
6-left,A Frame is Worth One Token: Efficient Generative World Modeling with Delta Tokens,"Tommie Kerssies, Gabriele Berton, Ju He, Qihang Yu, Wufei Ma, Daan de Geus, Gijs Dubbelman, Liang-Chieh Chen",https://arxiv.org/abs/2604.04913
6-right,Visual General Intelligence: Vision Research Toward the AGI Era,Hirokatsu Kataoka et al.,
7-left,TBD,Kohsuke Ide et al.,
7-right,COG: Confidence-aware Optimal Geometric Correspondence for Unsupervised Single-reference Novel Object Pose Estimation,"Yuchen Che, Jingtu Wu, Hao Zheng, Asako Kanezaki",https://arxiv.org/abs/2603.00493
8-left,Towards Structured Recognition and Generation of Human-Object Interactions,"Takuma Yagi, Kohei Torimi, Jyun-Ting Song, Kris Kitani",
8-right,BabyVLM-V2: Toward Developmentally Grounded Pretraining and Benchmarking of Vision Foundation Models,"Shengao Wang, Wenqi Wang, Zecheng Wang, Max Whitton, Michael Wakeham, Arjun Chandra, Joey Huang, Pengyue Zhu, Helen Chen, David Li, Jeffrey Li, Shawn Li, Andrew Zagula, Amy Zhao, Andrew Zhu, Sayaka Nakamura, Yuki Yamamoto, Jerry Jun Yokono, Aaron Mueller, Bryan A. Plummer, Kate Saenko, Venkatesh Saligrama, Boqing Gong",https://arxiv.org/abs/2512.10932
9,Planning in 8 Tokens: A Compact Discrete Tokenizer for Latent World Model,"Dongwon Kim, Gawon Seo, Jinsung Lee, Minsu Cho, Suha Kwak",https://arxiv.org/abs/2603.05438
10,E-RayZer: Self-supervised 3D Reconstruction as Spatial Visual Pre-training,"Qitao Zhao, Hao Tan, Qianqian Wang, Sai Bi, Kai Zhang, Kalyan Sunkavalli, Shubham Tulsiani, Hanwen Jiang",https://arxiv.org/abs/2512.10950